Album Name,Artist Name,Downloads,Rating,Sales
Hand Sown ... Home Grown,Modern talking,"3,450",5,"100,000"
In the sunset,Madalina Manole,"7,800",2.4,"100,000"
New world,Modern talking,"23,000",5,"100,000"
Wonderfull,Simon and Garfunkel,"235,000",3.5,"16,785"
New world,Chun Myung-hoon,"4,500",3.5,"16,785"
Stories We Could Tell,Jake Holmes,"450,000",3,"16,785"
Everybody Knows This Is Nowhere,KittiB,"23,000",3.6,"16,785"
Stage Fright,Jake Holmes,"450,000",3,"16,785"
American Beauty,Simon and Garfunkel,"4,500",4.5,"16,785"
American Beauty,Simon and Garfunkel,"23,000",3.6,"16,785"
American Beauty,Modern talking,"7,800",3,"16,785"
Fantasy,Modern talking,"100,000",3,"16,785"
Phenomenal,Jake Holmes,"235,000",3.6,"16,785"
Stories We Could Tell,Madalina Manole,"100,000",4.5,"16,785"
Last Time Around,Madalina Manole,"100,000",3.6,"16,785"
Stage Fright,Simon and Garfunkel,"23,000",4.5,"16,785"
Wonderfull,Simon and Garfunkel,"4,500",4.6,"12,000"
American Beauty,Modern talking,"3,450",4.6,"12,000"
Wonderfull,Simon and Garfunkel,"235,000",3.6,"12,000"
Hand Sown ... Home Grown,Deitiphobia,"100,000",3.6,"12,000"
Phenomenal,Deitiphobia,"100,000",3.6,"12,000"
Hand Sown ... Home Grown,Modern talking,"450,000",4.5,"12,000"
Last Time Around,KittiB,"6,700",3,"5,670"
Seven Bridges Road,Simon and Garfunkel,"6,700",3,"5,670"
American Beauty,Mary Ramsey,"100,000",2.4,"5,670"
Stories We Could Tell,Jake Holmes,"6,700",4.5,"5,670"
Everybody Knows This Is Nowhere,Gilme,"100,000",3,"5,670"
American Beauty,Modern talking,"3,450",5,"5,670"
American Beauty,Mary Ramsey,"3,450",3.5,"5,670"
New world,Deitiphobia,"100,000",5,"5,670"
Stories We Could Tell,Madalina Manole,"6,700",3.5,"5,670"
Wonderfull,Gilme,"7,800",2.4,"3,400"
Last Time Around,Deitiphobia,"100,000",3.5,"3,400"
Wonderfull,Modern talking,"100,000",5,"3,400"
Stories We Could Tell,Modern talking,"12,500",3.6,"3,400"
American Beauty,Simon and Garfunkel,"450,000",4.6,"3,400"
Phenomenal,Frankie Valli,"3,450",3.5,"3,400"
Back in Memphis,Madalina Manole,"450,000",5,"3,400"
Last Time Around,Frankie Valli,"450,000",3.5,"3,400"
Phenomenal,Frankie Valli,"235,000",3.6,"3,400"
Phenomenal,Frankie Valli,"7,800",2.4,"3,400"
Back in Memphis,KittiB,"12,500",3.5,"3,400"
Seven Bridges Road,Jake Holmes,"7,800",3.5,"3,400"
Album Name,Artist Name,Downloads,Rating,Sales
New world,KittiB,"4,500",4.6,"3,400"
Stories We Could Tell,Chun Myung-hoon,"100,000",3.6,"1,200"
Everybody Knows This Is Nowhere,KittiB,"6,700",4.5,"1,200"
A Good Feelin’ To Know,ABA,"23,000",2.4,"1,200"
Last Time Around,Madalina Manole,"4,500",4.6,"1,200"
New world,Modern talking,"100,000",3.5,"1,200"
Wonderfull,Mary Ramsey,"7,800",2.4,"1,200"
Phenomenal,Mary Ramsey,"7,800",3.5,"1,200"
Fantasy,ABA,"100,000",5,967
American Beauty,Simon and Garfunkel,"23,000",3,967
Everybody Knows This Is Nowhere,Deitiphobia,"23,000",3.6,340
Stage Fright,Simon and Garfunkel,"6,700",4.6,340
New world,KittiB,"23,000",3.6,200
Phenomenal,Madalina Manole,"450,000",3,200
Wonderfull,Jake Holmes,"100,000",3.6,200
Phenomenal,Deitiphobia,"450,000",4.5,200
Fantasy,Madalina Manole,"23,000",3.6,200
